cuir au four|backen, hat gebacken
commencer|beginnen, hat begonnen
mordre|beißen, hat gebissen
demander qc à qn|bitten, hat gebeten
souffler|blasen, hat geblasen
rester|bleiben, ist geblieben
rôtir|braten, hat gebraten
bruler|brennen, hat gebrannt
apporter|bringen, hat gebracht
penser|denken, hat gedacht
avoir le droit de|dürfen, hat gedurft
manger|essen, hat gegessen
conduire|fahren, ist gefahren
tomber|fallen, ist gefallen
voler|fliegen, ist geflogen
manger (annimal)|fressen, hat gefressen
donner|geben, hat gegeben
aller, marchen|gehen, ist gegangen
arriver, se passer|geschehen, ist geschehen
gagner|gewinnen, hat gewonnen
avoir|haben, hat gehabt
tenir|halten, hat gehalten
s'appeler|heißen, hat geheißen
aider|helfen, hat geholfen
connaître|kennen, hat gekannt
venir|kommen, ist gekommen
courir|laufen, ist gelaufen
prêter/emprunter|leihen, hat geliehen
lire|lesen, hat gelesen
aimer bien|mögen, hat gemocht
devoir|müssen, hat gemusst
prendre|nehmen, hat genommen
nommer|nennen, hat genannt
courir|rennen, ist gerannt
appeler|rufen, hat gerufen
sembler, briller|scheinen, hat geschienen
dormir|schlafen, hat geschlafen
ecrire|schreiben, hat geschrieben
nager|schwimmen, ist geschwommen
voir|sehen, hat gesehen
être|sein, ist gewesen
chanter|singen, hat gesungen
être assis|sitzen, hat/ist gesessen
parler|sprechen, hat gesprochen
sauter|springen, ist gesprungen
être debout/être placer (obj)|stehen, hat gestanden
sentir mauvais|stinken, hat gestunken
recontrer|treffen, hat getroffen
pratiquer|treiben, hat getrieben
boire|trinken, hat getrunken
oublier|vergessen, hat vergessen
laver|waschen, hat gewaschen
